Concurso,Data do Sorteio,Coluna1,Coluna2,Coluna3,Coluna4,Coluna5,Coluna6,Ganhadores Faixa 1,Ganhadores Faixa 2,Ganhadores Faixa 3,Acumulado,Sorteio Especial
1,1996-03-11,4,5,30,33,41,52,0,17,2016,true,false
2,1996-03-18,9,37,39,41,43,49,1,65,4488,false,false
3,1996-03-25,10,11,29,30,36,47,2,62,4261,false,false
4,1996-04-01,1,5,6,27,42,59,0,39,3311,true,false
5,1996-04-08,1,2,6,16,19,46,0,98,5399,true,false
6,1996-04-15,7,13,19,22,40,47,0,109,7147,true,false
7,1996-04-22,3,5,20,21,38,56,0,100,5736,true,false
8,1996-04-29,4,17,37,38,47,53,0,60,5262,true,false
9,1996-05-06,8,43,54,55,56,60,0,17,2175,true,false
10,1996-05-13,4,18,21,25,38,57,0,251,12590,true,false
11,1996-05-20,15,25,37,38,58,59,1,148,9442,false,false
12,1996-05-27,4,16,19,20,27,43,0,108,6454,true,false
13,1996-06-03,18,32,47,50,54,56,0,43,2934,true,false
14,1996-06-10,2,16,23,27,47,53,0,85,5323,true,false
15,1996-06-17,12,33,35,51,52,60,0,57,3931,true,false
16,1996-06-24,20,32,34,49,58,60,0,31,3250,true,false
17,1996-07-01,6,10,13,19,20,51,1,144,9376,false,false
18,1996-07-08,23,27,36,37,42,56,0,52,4484,true,false
19,1996-07-15,5,10,12,24,25,60,0,159,9250,true,false
20,1996-07-22,11,25,28,30,33,51,0,72,5728,true,false
21,1996-07-29,6,33,36,46,49,53,0,63,5030,true,false
22,1996-08-05,1,9,31,38,46,56,0,47,4865,true,false
23,1996-08-12,17,37,39,51,52,59,0,74,4897,true,false
24,1996-08-19,1,8,14,28,33,43,1,227,13486,false,false
25,1996-08-25,24,43,50,54,55,56,0,28,2741,true,false
26,1996-09-01,10,22,50,53,57,58,0,16,1823,true,false
27,1996-09-08,13,17,20,33,44,51,0,99,6466,true,false
28,1996-09-15,3,6,22,24,54,60,0,50,4895,true,false
29,1996-09-22,3,8,14,43,56,58,1,44,5248,false,false
30,1996-09-29,7,14,15,29,38,50,0,80,5885,true,false
31,1996-10-06,17,19,28,45,48,56,0,103,5680,true,false
32,1996-10-13,5,14,33,36,43,44,0,96,6876,true,false
33,1996-10-20,5,17,33,39,42,49,1,128,8722,false,false
34,1996-10-27,13,15,17,40,53,57,0,51,2627,true,false
35,1996-11-03,4,16,21,23,54,57,0,39,3576,true,false
36,1996-11-10,3,13,17,25,29,51,0,143,8548,true,false
37,1996-11-17,6,7,22,38,52,60,0,47,3695,true,false
38,1996-11-24,10,42,43,45,54,55,0,24,1999,true,false
39,1996-12-01,12,16,37,45,52,56,0,73,4444,true,false
40,1996-12-08,3,5,8,12,46,47,0,189,12117,true,false
41,1996-12-15,12,26,35,38,39,47,1,148,10182,false,false
42,1996-12-22,7,11,19,24,33,36,0,201,9580,true,false
43,1996-12-29,2,6,17,25,26,58,0,75,5070,true,false
44,1997-01-05,14,18,29,38,44,47,0,103,7742,true,false
45,1997-01-12,7,30,37,44,53,55,0,33,3004,true,false
46,1997-01-19,1,23,24,32,46,60,0,91,6263,true,false
47,1997-01-26,3,17,25,35,48,56,0,210,10873,true,false
48,1997-02-02,2,5,28,34,47,50,0,132,7454,true,false
49,1997-02-09,7,13,33,35,43,55,1,155,9830,false,false
50,1997-02-16,6,16,21,44,57,58,0,31,2800,true,false
51,1997-02-23,17,23,24,25,42,47,0,143,9361,true,false
52,1997-03-02,15,30,38,46,58,59,0,77,6442,true,false
53,1997-03-09,3,13,16,38,42,46,0,210,10941,true,false
54,1997-03-16,5,9,18,21,36,56,2,207,13067,false,false
55,1997-03-23,2,14,23,29,38,52,0,66,3840,true,false
56,1997-03-30,2,7,20,35,51,59,0,48,2599,true,false
57,1997-04-06,7,16,17,27,34,59,0,79,6173,true,false
58,1997-04-13,12,27,30,37,44,49,1,65,5040,false,false
59,1997-04-20,2,8,13,28,34,54,0,90,5351,true,false
60,1997-04-27,3,14,15,20,21,38,0,129,7914,true,false
61,1997-05-04,8,18,29,42,44,59,0,52,3866,true,false
62,1997-05-11,6,8,13,24,31,52,0,119,8613,true,false
63,1997-05-18,9,25,26,40,41,49,1,82,6359,false,false
64,1997-05-25,8,12,23,50,54,60,0,29,2441,true,false
65,1997-06-01,1,5,20,25,32,34,0,61,4932,true,false
66,1997-06-08,12,13,15,26,33,48,0,102,7686,true,false
67,1997-06-15,12,14,17,27,47,52,0,83,5479,true,false
68,1997-06-22,1,3,12,13,53,59,0,49,4758,true,false
69,1997-06-29,25,34,45,53,56,58,0,55,3661,true,false
70,1997-07-06,17,23,27,40,43,58,0,95,6071,true,false
71,1997-07-13,16,27,33,43,45,53,0,115,7430,true,false
72,1997-07-20,1,19,34,43,44,48,0,85,7982,true,false
73,1997-07-27,25,26,28,45,51,57,1,95,8222,false,false
74,1997-08-03,2,24,34,37,38,50,0,40,3321,true,false
75,1997-08-10,21,24,35,36,37,49,0,70,5032,true,false
76,1997-08-17,8,17,18,23,33,53,0,92,6399,true,false
77,1997-08-24,21,29,40,49,54,57,0,20,2635,true,false
78,1997-08-31,12,22,25,31,32,46,0,103,5984,true,false
79,1997-09-07,2,13,17,25,31,43,1,247,13375,false,false
80,1997-09-14,23,28,37,40,48,51,0,43,4284,true,false
81,1997-09-21,10,23,41,47,54,60,0,62,4870,true,false
82,1997-09-28,15,18,29,36,51,53,1,77,5889,false,false
83,1997-10-05,4,15,16,24,42,57,0,76,4756,true,false
84,1997-10-12,4,6,10,25,34,40,0,102,5546,true,false
85,1997-10-19,6,15,30,37,45,47,0,45,4312,true,false
86,1997-10-26,6,21,22,34,36,54,0,48,3752,true,false
87,1997-11-02,4,5,11,28,32,40,0,64,5195,true,false
88,1997-11-09,4,18,29,37,43,45,0,110,6805,true,false
89,1997-11-16,13,34,42,44,55,59,0,36,3847,true,false
90,1997-11-23,9,21,26,40,52,54,1,74,4763,false,false
91,1997-11-30,2,4,10,35,39,60,0,68,3878,true,false
92,1997-12-07,1,3,5,23,24,51,0,75,5530,true,false
93,1997-12-14,2,22,28,31,36,53,0,61,3795,true,false
94,1997-12-21,8,18,28,51,52,55,0,25,2086,true,false
95,1997-12-28,6,40,45,46,50,60,0,22,2185,true,false
96,1998-01-04,4,7,26,40,42,58,1,62,3984,false,false
97,1998-01-11,5,11,14,35,53,56,1,56,3441,false,false
98,1998-01-18,13,14,31,33,35,43,0,89,4972,true,false
99,1998-01-25,11,24,30,33,46,60,0,46,3015,true,false
100,1998-02-01,14,29,30,46,48,51,0,56,3600,true,false
101,1998-02-08,1,18,29,31,37,39,0,52,4653,true,false
102,1998-02-15,19,20,37,42,44,56,1,73,6197,false,false
103,1998-02-22,1,7,9,49,54,57,1,28,2632,false,false
104,1998-03-01,1,4,13,21,38,52,0,37,2588,true,false
105,1998-03-08,3,13,31,43,46,49,0,55,4875,true,false
106,1998-03-15,5,16,24,35,38,39,0,94,5390,true,false
107,1998-03-22,2,4,16,24,51,52,0,35,3554,true,false
108,1998-03-29,21,24,29,34,59,60,0,35,2453,true,false
109,1998-04-04,1,13,44,48,49,54,0,39,3881,true,false
110,1998-04-11,18,31,43,52,57,58,0,35,3212,true,false
111,1998-04-18,4,22,25,32,33,52,0,68,6109,true,false
112,1998-04-25,12,20,34,37,42,43,1,137,8340,false,false
113,1998-05-02,7,26,28,34,54,55,0,38,2572,true,false
114,1998-05-09,6,12,18,37,47,54,0,71,4908,true,false
115,1998-05-16,4,6,14,20,24,38,0,78,5091,true,false
116,1998-05-23,5,13,32,36,42,51,0,64,5270,true,false
117,1998-05-30,20,25,27,33,42,53,0,36,3822,true,false
118,1998-06-06,9,22,25,37,56,57,0,53,4342,true,false
119,1998-06-13,1,21,36,38,47,50,0,21,2691,true,false
120,1998-06-20,3,16,27,40,45,46,0,92,7073,true,false
121,1998-06-27,2,29,41,44,53,55,0,45,4554,true,false
122,1998-07-04,11,17,20,39,43,53,0,83,7203,true,false
123,1998-07-11,13,14,16,26,32,42,0,176,13159,true,false
124,1998-07-18,5,15,34,41,52,57,1,188,14019,false,false
125,1998-07-25,25,41,47,53,56,59,0,46,2784,true,false
126,1998-08-01,6,10,11,28,32,40,0,83,5510,true,false
127,1998-08-08,21,29,50,51,54,59,0,40,2613,true,false
128,1998-08-15,3,9,18,21,23,43,0,973,11715,true,false
129,1998-08-22,1,9,10,32,46,54,0,67,5320,true,false
130,1998-08-29,13,29,38,42,49,53,0,155,11403,true,false
131,1998-09-05,4,9,17,27,30,44,0,361,21683,true,false
132,1998-09-12,7,9,35,41,44,50,0,143,12179,true,false
133,1998-09-19,5,6,19,34,39,57,1,431,29264,false,false
134,1998-09-26,4,25,32,36,52,60,0,82,4575,true,false
135,1998-10-03,21,22,35,40,53,59,0,40,3604,true,false
136,1998-10-10,1,17,25,38,45,59,0,126,7403,true,false
137,1998-10-17,15,16,19,22,26,49,0,88,6701,true,false
138,1998-10-24,5,14,27,37,40,41,0,86,6953,true,false
139,1998-10-31,3,13,26,27,41,42,2,179,9401,false,false
140,1998-11-07,7,31,41,44,46,55,0,45,4945,true,false
141,1998-11-14,10,13,22,41,42,58,0,119,10533,true,false
142,1998-11-21,8,15,19,20,54,59,0,162,13991,true,false
143,1998-11-28,6,18,20,40,50,53,0,144,10994,true,false
144,1998-12-05,8,32,36,44,45,55,1,257,23952,false,false
145,1998-12-12,15,16,31,41,43,51,0,71,3389,true,false
146,1998-12-19,25,32,34,42,51,60,0,51,4079,true,false
147,1998-12-24,6,16,23,24,28,38,1,75,5418,false,false
148,1998-12-31,32,35,41,55,58,59,0,15,2322,true,false
149,1999-01-09,7,11,20,28,45,48,0,106,6290,true,false
150,1999-01-16,12,44,50,52,54,55,0,56,5540,true,false
151,1999-01-23,3,16,20,43,52,56,1,152,9869,false,false
152,1999-01-30,5,12,15,29,51,58,0,75,5041,true,false
153,1999-02-06,2,30,31,42,45,47,0,47,4218,true,false
154,1999-02-13,8,10,24,33,45,48,0,144,9252,true,false
155,1999-02-20,12,30,32,35,43,44,1,67,4974,false,false
156,1999-02-27,17,23,42,49,52,55,0,74,4455,true,false
157,1999-03-06,4,13,17,21,41,44,1,134,8894,false,false
158,1999-03-13,4,14,17,43,51,58,0,31,3630,true,false
159,1999-03-20,9,11,16,35,50,58,1,57,4124,false,false
160,1999-03-27,2,13,42,52,54,58,0,74,6132,true,false
161,1999-04-03,6,25,30,37,39,41,0,95,6865,true,false
162,1999-04-10,21,23,33,38,48,51,0,92,7244,true,false
163,1999-04-17,8,27,36,41,53,56,2,146,10793,false,false
164,1999-04-24,4,10,14,19,28,44,0,111,8386,true,false
165,1999-05-01,10,19,23,35,39,56,2,75,5378,false,false
166,1999-05-08,12,13,22,57,59,60,0,47,3371,true,false
167,1999-05-15,1,11,28,33,38,48,1,82,4997,false,false
168,1999-05-22,2,9,31,35,45,50,0,48,3528,true,false
169,1999-05-29,1,13,21,37,51,52,0,65,4489,true,false
170,1999-06-05,7,41,46,51,55,58,0,50,6257,true,false
171,1999-06-12,4,27,40,43,46,54,1,134,10378,false,false
172,1999-06-19,10,14,26,35,36,49,0,64,4592,true,false
173,1999-06-26,17,28,29,42,49,50,1,40,3610,false,false
174,1999-07-03,11,22,23,36,52,59,0,44,3217,true,false
175,1999-07-10,1,10,13,20,42,50,0,114,7058,true,false
176,1999-07-17,1,3,4,28,45,53,0,62,5405,true,false
177,1999-07-24,22,35,38,39,41,59,0,52,4408,true,false
178,1999-07-31,5,15,19,26,27,33,1,198,13086,false,false
179,1999-08-07,5,6,23,26,27,53,0,78,5646,true,false
180,1999-08-14,6,23,29,39,51,60,0,111,6978,true,false
181,1999-08-21,1,27,33,35,51,55,0,182,11797,true,false
182,1999-08-28,3,5,10,28,46,60,0,239,17413,true,false
183,1999-09-04,2,7,11,16,40,44,0,306,20677,true,false
184,1999-09-11,9,16,21,34,41,60,0,217,15462,true,false
185,1999-09-18,17,22,43,46,55,59,0,366,24849,true,false
186,1999-09-25,14,23,24,25,26,51,0,352,31164,true,false
187,1999-10-02,6,36,41,44,48,58,0,397,39365,true,false
188,1999-10-10,17,27,34,42,43,46,1,1200,90235,false,false
189,1999-10-16,4,15,31,38,41,53,0,61,5485,true,false
190,1999-10-24,5,10,21,32,40,42,0,304,21481,true,false
191,1999-10-31,1,3,5,23,41,58,1,383,30477,false,false
192,1999-11-06,1,26,28,41,54,60,0,53,4403,true,false
193,1999-11-13,4,11,12,19,43,49,0,190,11415,true,false
194,1999-11-20,25,28,32,33,42,43,0,106,7456,true,false
195,1999-11-27,3,9,17,32,37,44,1,339,13819,false,false
196,1999-12-04,7,9,14,17,24,32,0,182,10493,true,false
197,1999-12-11,5,12,15,19,29,52,0,128,8720,true,false
198,1999-12-18,1,8,18,23,35,40,0,125,7134,true,false
199,1999-12-24,10,16,37,50,52,57,1,34,3143,false,false
200,1999-12-31,12,15,19,34,44,51,2,186,13027,false,false
201,2000-01-08,5,20,22,30,35,55,1,77,4502,false,false
202,2000-01-15,12,24,44,45,49,53,0,65,4279,true,false
203,2000-01-22,11,19,29,44,47,55,0,63,5417,true,false
204,2000-01-29,29,31,39,41,51,58,0,32,2400,true,false
205,2000-02-05,26,32,40,43,46,54,1,71,6014,false,false
206,2000-02-12,18,20,26,34,51,56,0,43,3478,true,false
207,2000-02-19,3,7,19,24,53,55,0,90,6510,true,false
208,2000-02-26,15,23,24,25,47,57,0,72,5232,true,false
209,2000-03-04,13,21,26,32,41,52,0,81,5496,true,false
210,2000-03-11,20,32,37,38,48,58,0,29,3921,true,false
211,2000-03-18,10,20,33,40,45,50,0,164,16680,true,false
212,2000-03-25,6,15,29,45,57,59,0,147,9880,true,false
213,2000-04-01,3,9,23,30,32,35,3,312,18348,false,false
214,2000-04-08,6,12,30,31,35,50,0,54,3769,true,false
215,2000-04-15,7,28,37,46,53,58,0,78,4942,true,false
216,2000-04-22,14,18,30,35,42,59,4,91,5049,false,false
217,2000-04-29,3,27,32,45,49,51,0,159,5820,true,false
218,2000-05-06,12,17,40,42,47,54,1,95,4679,false,false
219,2000-05-13,23,26,28,36,42,49,0,80,5139,true,false
220,2000-05-20,13,14,36,53,55,60,1,125,8067,false,false
221,2000-05-27,13,27,43,50,54,58,0,49,3793,true,false
222,2000-06-03,5,19,30,48,52,55,0,55,4462,true,false
223,2000-06-10,2,6,22,24,28,58,0,163,7780,true,false
224,2000-06-17,7,16,18,20,21,44,0,119,7185,true,false
225,2000-06-24,2,4,16,21,37,58,0,83,5517,true,false
226,2000-07-01,1,2,38,49,50,59,1,78,4123,false,false
227,2000-07-08,11,26,27,37,42,48,0,51,3648,true,false
228,2000-07-15,13,16,40,43,45,59,0,64,4497,true,false
229,2000-07-22,11,13,21,33,39,45,1,121,7685,false,false
230,2000-07-29,8,40,41,44,53,56,0,94,5820,true,false
231,2000-08-05,16,27,36,42,44,59,0,125,9458,true,false
232,2000-08-12,19,22,29,37,41,59,0,124,8807,true,false
233,2000-08-19,3,7,24,32,36,45,5,512,21452,false,false
234,2000-08-26,15,25,41,42,45,54,0,39,3505,true,false
235,2000-09-02,2,22,29,31,41,55,0,52,3086,true,false
236,2000-09-09,10,25,50,52,57,60,0,76,4703,true,false
237,2000-09-16,7,31,36,45,56,57,0,54,4145,true,false
238,2000-09-23,9,13,15,37,41,42,4,188,10483,false,false
239,2000-09-30,6,21,33,44,46,47,1,30,3826,false,false
240,2000-10-07,25,28,38,41,57,59,0,103,6244,true,false
241,2000-10-14,11,31,35,40,56,57,0,74,5485,true,false
242,2000-10-21,4,7,21,22,28,56,0,203,13497,true,false
243,2000-10-28,11,16,20,23,32,47,0,180,13705,true,false
244,2000-11-04,19,24,33,47,50,60,0,204,14735,true,false
245,2000-11-11,8,27,44,51,53,60,3,283,21593,false,false
